name,play,fans,label,score,times,date,info,imgUrl,longComments,shortComments
阴阳师·平安物语 第3季 中配版,106.7万,155.3万追番,1566,9.2,145人评,2022年1月25日开播,"已完结, 全12话",http://i0.hdslb.com/bfs/bangumi/image/7491b548b022db67b24f118962132d1e863a2536.jpg,,32
请吃红小豆吧！,7289.3万,152.4万追番,29.1万,9.8,20052人评,2018年7月5日开播,"已完结, 全12话",http://i0.hdslb.com/bfs/bangumi/b44dceafe58d5362db796dbc33858ef9f85dd7c1.jpg,34,9522
白蛇2：青蛇劫起,2527.6万,150.5万追剧,23万,8.5,39665人评,2021年7月23日上映,132分钟,http://i0.hdslb.com/bfs/bangumi/image/52435240b8c204b10b3d6b74d438b7586db5d32f.png,567,16202
全职高手 特别篇,3505.1万,146.2万追番,80.9万,8.7,34231人评,2018年4月27日开播,"已完结, 全3话",http://i0.hdslb.com/bfs/bangumi/6ec3d7d7ab74b61bd70a73deea8bd0c2265f20f5.jpg,668,16125
姜子牙,2275.1万,144.4万追剧,22.5万,7.6,34751人评,2020年10月1日上映,110分钟,http://i0.hdslb.com/bfs/bangumi/image/e8100256771a79772520494c725e5e21d96609c0.png,495,13651
凹凸世界 第一季,1.4亿,143.5万追番,135.7万,8.9,9250人评,2015年11月13日开播,"已完结, 全32话",http://i0.hdslb.com/bfs/bangumi/0322eb656e2d745b9cd118bbe6297b82a1b13c08.jpg,61,3319
阴阳师·平安物语 ,4834.7万,143.4万追番,42.9万,9.6,21163人评,2018年4月21日开播,"已完结, 全12话",http://i0.hdslb.com/bfs/bangumi/a83fd857e62392924aa1c67e5a160bcc7052f495.jpg,145,11870
天行九歌,9416.9万,142.3万追番,103.3万,9.7,19391人评,2016年3月10日开播,"已完结, 全60话",http://i0.hdslb.com/bfs/bangumi/7e796ca9528d78d2f9af126a847e48b1aae72e02.jpg,148,7689
黑白无双 第三季,1551.5万,140.1万追番,4.2万,6.5,1818人评,2021年7月19日开播,"已完结, 全12话",http://i0.hdslb.com/bfs/bangumi/image/e8fe51f0665518aeb9e59d492c5ee1eb0b4e9a8f.jpg,6,907
我开动物园那些年,5357.8万,137.8万追番,48.3万,5.7,19879人评,2020年4月5日开播,"已完结, 全13话",http://i0.hdslb.com/bfs/bangumi/image/3d1b710805a8f251ccdc8376b54e43fcdafcafa6.jpg,126,10445
小绿和小蓝,8284.2万,136.3万追番,141.3万,9.7,17822人评,2018年8月27日开播,"已完结, 全72话",http://i0.hdslb.com/bfs/bangumi/1fb653e1e9a825ef1487216c834d3f72c647a8aa.jpg,155,7622
阴阳师·平安物语 第2季 ,2054.8万,136.3万追番,13万,9.0,3284人评,2019年8月17日开播,"已完结, 全12话",http://i0.hdslb.com/bfs/bangumi/8acdfbff604f2d343958e25cd271d01f6b9779e9.jpg,4,856
暂停！让我查攻略,5007.8万,135.6万追番,33.6万,9.5,7810人评,2022年5月21日开播,"连载中, 每周六 11:00更新",http://i0.hdslb.com/bfs/bangumi/image/dc1e7f563602ba498caa94275ed904fe34d886a1.jpg,20,2522
万国志,4603.9万,133.9万追番,35.1万,9.7,37821人评,2019年9月23日开播,"已完结, 全16话",http://i0.hdslb.com/bfs/bangumi/cbe2c3cb72aec1e02e9bfaead2f9bfc0a29d285a.jpg,145,16500
快把我哥带走,4221.4万,128.9万追番,23.8万,9.4,6482人评,2017年3月28日开播,"已完结, 全12话",http://i0.hdslb.com/bfs/bangumi/ce51a0827eebf15e577c2c1dae9cba2073b45754.jpg,9,2273
迷域行者,4092.3万,126.9万追番,49.1万,9.7,18327人评,2018年2月3日开播,"已完结, 全12话",http://i0.hdslb.com/bfs/bangumi/06ee86c49b93dd1a106b527681412ef9ec13712e.jpg,114,8791
喜羊羊与灰太狼之筐出未来,2530万,124.4万追剧,16.8万,9.8,37179人评,2022年2月1日上映,,http://i0.hdslb.com/bfs/bangumi/image/5dbd732c94e009a41730a92e02276432e6f4e9df.png,170,14733
那年那兔那些事儿 第二季,1.2亿,124.4万追番,83万,9.6,12155人评,2015年10月9日开播,"已完结, 全12话",http://i0.hdslb.com/bfs/bangumi/7ef28bab7b15bf86c21b1ecfae50816e35ac8090.jpg,2,2188
从前有座灵剑山,5186.2万,123.3万追番,6653,8.2,3406人评,2016年1月8日开播,"已完结, 全12话",http://i0.hdslb.com/bfs/bangumi/fa7c8164dd42ff518254cba6136ca3d278db3a85.jpg,10,1096
定海浮生录,3478.4万,120.7万追番,17.5万,7.9,4873人评,2021年7月15日开播,"已完结, 全12话",http://i0.hdslb.com/bfs/bangumi/image/fabce4cb3117a8a61d9e27f7fbd897618d047108.jpg,52,2350
没出息的阴阳师一家3,1218.4万,116.4万追番,3万,9.7,2168人评,2021年9月30日开播,"已完结, 全12话",http://i0.hdslb.com/bfs/bangumi/image/064e02e1a5f69aeb497946f95deb2342d68edc7c.png,6,945
凸变英雄 BABA,5186万,116万追番,39万,9.8,20752人评,2016年10月5日开播,"已完结, 全12话",http://i0.hdslb.com/bfs/bangumi/9d04af19a874d5724ff0e844ece2d052600d74f1.jpg,115,8742
咸鱼哥,3837.2万,115.8万追番,25.3万,9.5,10704人评,2021年7月29日开播,"已完结, 全18话",http://i0.hdslb.com/bfs/bangumi/image/34fd8d616bb8050c387e299ca32c3af6fb19d89d.jpg,32,3997
异常生物见闻录,2915.1万,112.9万追番,35万,3.8,28803人评,2019年6月28日开播,"已完结, 全13话",http://i0.hdslb.com/bfs/bangumi/cc393610a9ce2574260b0dee9978e05c460cd7e7.jpg,280,18081
少年锦衣卫,3378.3万,112.1万追番,61.2万,9.1,4002人评,2017年2月9日开播,"已完结, 全13话",http://i0.hdslb.com/bfs/bangumi/5bf4ee170c207f0e793c8044bb668c3a2e2d80b6.jpg,10,1575
凹凸世界 第二季,8163.1万,110.3万追番,145.6万,9.0,14147人评,2017年10月开播开播,"已完结, 全20话",http://i0.hdslb.com/bfs/bangumi/0d1c91e348c51564c4788d2eb23b0f31de905a99.jpg,195,6176
秘宝之国,1897.5万,110万追番,6.2万,8.4,4137人评,2021年4月16日开播,"已完结, 全10话",http://i0.hdslb.com/bfs/bangumi/image/bc151e79e9173b10fe16c88515cca1a833543e30.png,45,2095
那年那兔那些事儿 第四季,6463.3万,109.9万追番,11.2万,9.4,11251人评,2017年6月30日开播,"已完结, 全12话",http://i0.hdslb.com/bfs/bangumi/c8458f588c49f42578f5d6bd48785b0573d85a9b.jpg,27,2884
从前有座灵剑山 第二季,4225.8万,109.9万追番,40.2万,5.5,5476人评,2017年1月6日开播,"已完结, 全12话",http://i0.hdslb.com/bfs/bangumi/cca34c815248053cc377989143190598242fb01d.jpg,59,2756
那年那兔那些事儿 第三季,1亿,109.8万追番,10.5万,9.5,9232人评,2016年9月30日开播,"已完结, 全12话",http://i0.hdslb.com/bfs/bangumi/e3366e021abb45f74bf99c1e140eee45605ec52a.jpg,2,1608
拾忆长安·明月几时有 第二季,1646.4万,108.8万追番,6万,6.3,2376人评,2021年4月15日开播,"已完结, 全13话",http://i0.hdslb.com/bfs/bangumi/image/841d931d86fddbe100387b6980bd84b01a557ef2.jpg,7,1137
全职高手之巅峰荣耀,3234.6万,108.1万追剧,26.8万,6.5,15791人评,2019年8月16日上映,98分钟,http://i0.hdslb.com/bfs/bangumi/image/27e8185f6bd501ea9b0be78539fe72cc83d6b341.jpg,111,6688
异常生物见闻录 特别篇,350.4万,106.3万追番,2.6万,9.8,13384人评,2020年8月21日开播,"已完结, 全1话",http://i0.hdslb.com/bfs/bangumi/image/335cca70c72b3371498f5e7d037637252ac37b91.jpg,49,7601
拾忆长安·明月几时有,3310.3万,105.1万追番,10.3万,8.3,2936人评,2020年10月28日开播,"已完结, 全12话",http://i0.hdslb.com/bfs/bangumi/image/31ce0405755d49b7d50f671502284a717a45ad49.jpg,11,1124
没出息的阴阳师一家2,3379.1万,103.2万追番,9.8万,9.6,2298人评,2020年7月15日开播,"已完结, 全12话",http://i0.hdslb.com/bfs/bangumi/image/6ea4f06ae344b42ead3462c71237474c68ba96d0.jpg,4,644
百鬼幼儿园 第四季,929.4万,102.1万追番,3.3万,9.6,944人评,2021年5月28日开播,"已完结, 全12话",http://i0.hdslb.com/bfs/bangumi/image/8cbbf46864bc39e7aa107662d8b0a11a21ed6e6f.png,11,324
不白吃话山海经,4279.7万,101.8万追番,2.7万,9.4,1223人评,2021年10月19日开播,"已完结, 全41话",http://i0.hdslb.com/bfs/bangumi/image/b7ffc9fd4941e85356f111e57c34c48aa7dccfb4.jpg,5,348
最后的召唤师,2388.8万,101.1万追番,14.1万,8.5,3623人评,2022年4月26日开播,"已完结, 全12话",http://i0.hdslb.com/bfs/bangumi/image/03f21f1256ca1a22ed7170242565403ef8100a95.png,19,1696
喜羊羊与灰太狼之兔年顶呱呱,390.6万,99.1万追剧,4.8万,9.7,2888人评,2011年1月21日上映,87分钟,http://i0.hdslb.com/bfs/bangumi/image/daab9b73dc6bfce90259d798230f3fd3966446e3.jpg,2,964
银之守墓人,4416万,98.5万追番,40.6万,5.0,2503人评,2017年3月31日开播,"已完结, 全23话",http://i0.hdslb.com/bfs/bangumi/465effa90d0dc3d916fe9d51a73ec066c831bce9.jpg,10,1259
阿衰 第八季,477.9万,98.3万追番,2388,8.8,157人评,2022年6月3日开播,"连载中, 每周五、周六20:00更新",http://i0.hdslb.com/bfs/bangumi/image/1c8fc63188a54bcc56cbc08c8cce6ce8eeadc0f1.jpg,,33
时空之隙,3166.6万,97.5万追番,12.5万,8.1,17896人评,2022年4月15日开播,"已完结, 全13话",http://i0.hdslb.com/bfs/bangumi/image/3545fafa05888132c516055a3b23bf8c8401c2a6.png,28,1769
妖神记之黑狱篇,4551.3万,97.3万追番,20.9万,5.1,5698人评,2020年4月8日开播,"已完结, 全52话",http://i0.hdslb.com/bfs/bangumi/image/4cf0c78b9f11a63dead3072e6d245398a4e0b92e.jpg,10,2708
幻镜诺德琳,1141.8万,96.4万追番,16.6万,9.6,6113人评,2017年5月3日开播,"已完结, 全1话",http://i0.hdslb.com/bfs/bangumi/cb886c23bbec353a83b5a997b6a1e9ad48001fae.jpg,8,2188
