name,play,fans,label,score,times,date,info,imgUrl,longComments,shortComments
我们的生活：罕见人群,1624.5万,1624.5万次播放,1.9万,9.1,155人评,2018年6月6日开播,"已完结, 全4集",http://i0.hdslb.com/bfs/bangumi/image/15e33d885bff1ac0ca0c3f9aafefcce7fc95b3fe.png,,59
箭厂 时代当下,1617.3万,1617.2万次播放,12.2万,8.2,1414人评,2016年12月17日开播,连载中,http://i0.hdslb.com/bfs/bangumi/4bb440314a12f57af5e05e7fab98971f02dbf42d.jpg,5,494
穷豪旅游记 第三季,1582万,1581.9万次播放,25.4万,9.8,11377人评,2020年3月7日开播,"已完结, 全6集",http://i0.hdslb.com/bfs/bangumi/image/57ee64bd577c3b732093e53ca590833590e0e489.png,20,3622
未至之境（英配版）,1553.3万,1553.3万次播放,10万,9.9,4605人评,2019年11月19日开播,"已完结, 全5集",http://i0.hdslb.com/bfs/bangumi/image/399426bedcc7c0797f71e30367610ee367935b57.png,7,1205
90后亿万富翁的口罩赌局,1547万,1547万次播放,7076,9.1,237人评,2020年7月23日开播,"已完结, 全1集",http://i0.hdslb.com/bfs/bangumi/image/c546bc1e4cfac456089567437bdf994eb5d014b3.jpg,,83
我是你的瓷儿,1533.7万,1533.6万次播放,1.2万,9.8,636人评,2022年6月11日开播,"已完结, 全5集",http://i0.hdslb.com/bfs/bangumi/image/f72b02d52facfc83c5e3a6b63dd0228b2d0c0523.png,3,198
天才职业故事,1518.5万,1518.5万次播放,16万,,,2022年5月13日开播,"已完结, 全12集",http://i0.hdslb.com/bfs/bangumi/image/334cc09d62028d5d1f5d298043d8794fcf675aa2.jpg,,17
盛会,1505.5万,1505.5万次播放,3.4万,9.9,2843人评,2022年2月4日开播,"已完结, 全2集",http://i0.hdslb.com/bfs/bangumi/image/225750053a5c08b7ef718e610f4ad11711c7575c.png,7,643
动物农场2019,1473.3万,1473.3万次播放,11.3万,9.3,1030人评,2019开播,"已完结, 全52集",http://i0.hdslb.com/bfs/bangumi/a2eb3417f9eac35b7d58d68343aa7ec6417dea07.jpg,,348
生命时速·紧急救护120,1429.7万,1429.7万次播放,11.4万,9.9,3402人评,2018年3月12日开播,"已完结, 全12集",http://i0.hdslb.com/bfs/bangumi/abcb89c478d7f143a1827d01ed2406a691fc3c85.jpg,5,844
